Episode,Time,Character,Type of Roll,Total Value,Natural Value,Crit?,Damage,Kill #,Notes
114,0:16:50,Grog,Perception,9,9,,,,
114,0:16:42,Percy,Perception,Nat20,20,,,,
114,0:16:45,Vex'ahlia,Perception,31,16,,,,
114,0:16:45,Vax'ildan,Perception,24,10,,,,Possible RT use
114,0:16:46,Scanlan,Perception,8,7,,,,Scanlan 1
114,0:16:48,Keyleth,Perception,21,9,,,,
114,0:16:51,Pike,Perception,25,14,,,,
114,0:22:14,Grog,Initiative,Unknown,Unknown,,,,Disregarded due to advantage
114,0:22:14,Grog,Initiative,27,Unknown,,,,With advantage and 1d10
114,0:22:14,Vex'ahlia,Initiative,25,18,,,,
114,0:22:23,Vax'ildan,Initiative,22,17,,,,
114,0:22:29,Keyleth,Initiative,17,15,,,,
114,0:22:29,Percy,Initiative,15,3,,,,
114,0:22:42,Scanlan,Initiative,8,5,,,,Scanlan 1
114,0:22:46,Pike,Initiative,2,2,,,,
114,0:25:20,Vex'ahlia,Damage,12,,,12 Radiant to Vecna,,Blessing of the Dawnfather
114,0:25:29,Grog,Dexterity Save,Unknown,Unknown,,,,Disregarded due to advantage
114,0:25:29,Grog,Dexterity Save,17,15,,66 [33 (67/2) Bludgeoning + 33 (66/2) Fire] to Grog,,With advantage against Meteor Swarm
114,0:25:47,Vex'ahlia,Dexterity Save,Unknown,Unknown,,,,Disregarded due to advantage
114,0:25:47,Vex'ahlia,Dexterity Save,29,17,,66 [33 (67/2) Bludgeoning + 33 (66/2) Fire] to Vex'ahlia,,With advantage against Meteor Swarm
114,0:25:47,Vex'ahlia,Bless,3,,,,,
114,0:25:53,Vax'ildan,Dexterity Save,Unknown,Unknown,,,,Disregarded due to advantage
114,0:25:53,Vax'ildan,Dexterity Save,30,Unknown,,,,With advantage against Meteor Swarm and Bless
114,0:25:54,Keyleth,Dexterity Save,Unknown,Unknown,,,,Disregarded due to advantage
114,0:25:54,Keyleth,Dexterity Save,21,Unknown,,133 (67 Bludgeoning + 66 Fire) to Keyleth,,With advantage against Meteor Swarm and Bless
114,0:25:56,Percy,Dexterity Save,Unknown,Unknown,,,,Disregarded due to advantage
114,0:25:56,Percy,Dexterity Save,15,9,,133 (67 Bludgeoning + 66 Fire) to Percy,,With advantage against Meteor Swarm
114,0:25:57,Scanlan,Dexterity Save,Unknown,Unknown,,,,Disregarded due to advantage
114,0:25:57,Scanlan,Dexterity Save,Nat20=26,20,,66 [33 (67/2) Bludgeoning + 33 (66/2) Fire] to Scanlan,,With advantage against Meteor Swarm
114,0:26:25,Pike,Dexterity Save,Unknown,Unknown,,,,Disregarded due to advantage
114,0:26:25,Pike,Dexterity Save,20,19,,66 [33 (67/2) Bludgeoning + 33 (66/2) Fire] to Pike,,With advantage against Meteor Swarm
114,0:27:46,Pike,Constitution Save,Unknown,Unknown,,,,Disregarded due to advantage
114,0:27:46,Pike,Constitution Save,22,19,,,,"Concentration with advantage, Holy Aura fades"
114,0:27:59,Scanlan,Constitution Save,Unknown,Unknown,,,,Disregarded due to advantage
114,0:27:59,Scanlan,Constitution Save,27,18,,,,"Concentration with advantage, Unseen Servant fades"
114,0:32:01,Grog,Strength Save,Unknown,Unknown,,,,Disregarded due to advantage
114,0:32:01,Grog,Strength Save,24,10,,,,With advantage
114,0:32:02,Scanlan,Strength Save,12,11,,,,Scanlan 1 falls
114,0:32:04,Vex'ahlia,Strength Save,20,14,,,,
114,0:32:06,Percy,Strength Save,22,15,,,,
114,0:32:07,Keyleth,Strength Save,19,14,,,,
114,0:32:39,Scanlan,Initiative,16,13,,,,Scanlan 2
114,0:33:46,Grog,Athletics,Unknown,Unknown,,,,Disregarded due to advantage
114,0:33:46,Grog,Athletics,28,14,,,,With advantage
114,0:34:24,Grog,Attack,Unknown,Unknown,,,,Disregarded due to advantage
114,0:34:24,Grog,Attack,31,14,,,,Sword of Kas Reckless
114,0:35:13,Grog,Damage,37,,,37 Slashing to Vecna,,
114,0:36:03,Grog,Attack,Unknown,Unknown,,,,Disregarded due to advantage
114,0:36:03,Grog,Attack,27,10,,,,Sword of Kas Reckless
114,0:36:19,Grog,Damage,35,,,35 Slashing to Vecna,,
114,0:37:09,Grog,Athletics,Unknown,Unknown,,,,Disregarded due to advantage
114,0:37:09,Grog,Athletics,33,19,,,,"With advantage, disregarded"
114,0:37:38,Grog,Attack,Unknown,Unknown,,,,Disregarded due to advantage
114,0:37:38,Grog,Attack,30,13,,,,"Sword of Kas Reckless, disregarded"
114,0:38:22,Grog,Athletics,Unknown,Unknown,,,,Disregarded due to advantage
114,0:38:22,Grog,Athletics,19,5,,,,With advantage
114,0:41:46,Vex'ahlia,Attack,30,16,,,,Fenthras Holy Needle Bramble Shot with Bless
114,0:42:23,Vex'ahlia,Damage,41,,,41 to Vecna,,
114,0:43:40,Vex'ahlia,Attack,25,11,,,,Fenthras Needle Arrow with Bless
114,0:44:26,Vex'ahlia,Damage,20,,,20 to Vecna,,
114,0:46:58,Vex'ahlia,Damage,9,,,9 Radiant to Vecna,,Blessing of the Dawnfather
114,0:49:17,Vax'ildan,Attack,Unknown,Unknown,,,,Disregarded due to advantage
114,0:49:17,Vax'ildan,Attack,23,9,,,,Whisper Sneak Attack
114,0:49:17,Vax'ildan,Bless,1,,,,,
114,0:49:31,Vax'ildan,Attack,Unknown,Unknown,,,,Disregarded due to advantage
114,0:49:31,Vax'ildan,Attack,25,Unknown,,,,Dagger of Venom with Bless
114,0:50:20,Vax'ildan,Damage,44,,,44 to Vecna,,
114,0:50:38,Vax'ildan,Damage,9,,,9 to Vecna,,
114,0:53:55,Scanlan,Athletics,11,7,,,,Scanlan 2
114,0:54:32,Scanlan,Inspiration,3,,,,,Scanlan 2
114,0:56:29,Scanlan,Attack,29,17,,,,"Scanlan 2, Bigby's Hand (+1 War Wand)"
114,0:57:15,Scanlan,Damage,12,,,0 to Vecna,,Vecna is immune to spell damage lower than 6th level
114,0:57:53,Scanlan,Intelligence,Nat1,1,,,,Scanlan 2
114,1:02:27,Keyleth,Damage,45,,,90 (45 Radiant to Vecna + 45 Radiant to Velora),1,Sunburst
114,1:03:44,Keyleth,Healing,Unknown,Unknown,,,,"Healing Word (2nd), Keyleth heals unknown points"
114,1:04:55,Percy,Attack,20,5,,,,Sword with 2 points of Cabal's Ruin
114,1:05:17,Percy,Damage,15,,,15 (8 Piercing + 7 Lightning) to Skeleton,1,
114,1:05:49,Percy,Attack,30,15,,,,Animus with 1 point of Cabal's Ruin
114,1:06:15,Percy,Damage,20,,,20 (14 Piercing + 5 Psychic + 1 Lightning) to Skeleton,1,
114,1:07:48,Percy,Attack,Unknown,Unknown,,,,Disregarded due to advantage
114,1:07:48,Percy,Attack,31,16,,,,Animus Deadeye with 6 points of Cabal's Ruin
114,1:08:04,Percy,Damage,21,,,21 (16 + 6 Psychic) to Vecna,,
114,1:08:26,Percy,Damage,21,,,10 (21/2) Lightning to Vecna,,
114,1:08:47,Percy,Damage,6,,,3 (6/2) Necrotic to Vecna,,
114,1:09:55,Percy,Attack,Unknown,Unknown,,,,Disregarded due to advantage
114,1:09:55,Percy,Attack,17,6,,,,Animus Deadeye Sharpshooter
114,1:10:24,Percy,Attack,19,9,,,,Animus Sharpshooter
114,1:10:35,Percy,Attack,24,14,,,,Animus Sharpshooter
114,1:10:54,Percy,Damage,28,,,28 [22 Piercing + 5 Psychic + 1 (2/2) Necrotic] to Vecna,,
114,1:12:05,Scanlan,Dexterity Save,Unknown,Unknown,,,,Disregarded due to disadvantage
114,1:12:05,Scanlan,Dexterity Save,19,13,,8 (16/2) Piercing to Scanlan 1,,"Scanlan 1, with disadvantage"
114,1:15:18,Scanlan,Healing,11,,,,,"Scanlan 1, Healing Word (2nd), Vex'ahlia heals 11 points"
114,1:16:57,Trinket,Dexterity Save,19,17,,133 (67 Bludgeoning + 66 Fire) to Trinket,,"Against Meteor Swarm, Trinket goes in the necklace"
114,1:18:01,Pike,Healing,39,,,,,"Mass Cure Wounds, Percy, Vex, Keyleth, and Pike heal 39 points"
114,1:23:43,Scanlan,Arcana,20,17,,,,Scanlan 1
114,1:24:22,Scanlan,Charisma,22,16,,,,"Scanlan 1, Counterspell"
114,1:27:08,Scanlan,Attack,13,2,,,,"Scanlan 1, Bigby's Hand Attack of Opportunity"
114,1:29:31,Grog,Intelligence,2,4,,,,
114,1:29:45,Grog,Healing,9,,,,,"Amulet of the Drunkard, Grog heals 9 points"
114,1:30:01,Grog,Healing,13,,,,,"Second Wind, Grog heals 13 points"
114,1:32:45,Vax'ildan,Attack,27,13,,,,Whisper Sneak Attack against the Tome with disadvantage
114,1:32:45,Vax'ildan,Bless,1,,,,,
114,1:32:45,Vax'ildan,Attack,32,17,,,,Disregarded due to disadvantage
114,1:32:45,Vax'ildan,Bless,1,,,,,
114,1:33:26,Vax'ildan,Damage,36,,,36 to Tome,,
114,1:34:02,Vax'ildan,Attack,Unknown,Unknown,,,,Disregarded due to advantage
114,1:34:02,Vax'ildan,Attack,17,3,,,,Dagger of Venom with advantage
114,1:34:02,Vax'ildan,Bless,2,,,,,
114,1:34:08,Vax'ildan,Attack,Unknown,Unknown,,,,Disregarded due to advantage
114,1:34:08,Vax'ildan,Attack,26,12,,,,Whisper Sneak Attack with advantage
114,1:34:08,Vax'ildan,Bless,3,,,,,
114,1:34:19,Vax'ildan,Damage,17,,,17 to Vecna,,
114,1:34:28,Vax'ildan,Attack,Unknown,Unknown,,,,Disregarded due to advantage
114,1:34:28,Vax'ildan,Attack,25,Unknown,,,,Dagger of Venom with advantage with Bless
114,1:34:39,Vax'ildan,Damage,4,,,4 to Vecna,,
114,1:36:43,Keyleth,Intelligence Save,25,13,,,,Against Feeblemind with advantage and Bless
114,1:36:43,Keyleth,Intelligence Save,Unknown,Unknown,,,,Disregarded due to advantage
114,1:36:43,Keyleth,Bless,2,,,,,
114,1:37:25,Keyleth,Inspiration,6,,,,,
114,1:41:34,Scanlan,Dexterity Save,15,9,,56 Fire to Bigby's Hand,,Bigby's Hand against Fire Breath
114,1:47:28,Percy,Attack,20,5,,,,Animus
114,1:47:34,Percy,Attack,25,10,,,,Animus
114,1:47:40,Percy,Attack,29,19,,,,Animus
114,1:47:59,Percy,Damage,21,,,21 (17 Piercing + 4 Psychic) to Skeleton,1,
114,1:48:10,Percy,Damage,14,,,14 (12 Piercing + 2 Psychic) to Skeleton,1,
114,1:48:24,Percy,Damage,Unknown,Unknown,,Unknown damage to Skeleton,1,
114,1:49:29,Percy,Attack,29,19,Y,,,Animus Sharpshooter Violent Shot (1 point)
114,1:50:35,Percy,Damage,57,,,57 (48 Piercing + 9 Psychic) to Vecna,,
114,1:51:53,Percy,Attack,24,9,,,,Animus Wing Shot
114,1:51:59,Percy,Damage,17,,,17 (13 Piercing + 4 Psychic) to Vecna,,
114,1:52:57,Percy,Attack,Nat20,20,Y,,,Animus
114,1:53:19,Percy,Damage,32,,,32 (20 + 12 Psychic) to Vecna,,Crack appears in Vecna's shoulder
114,1:54:19,Scanlan,Attack,14,2,,,,"Scanlan 1, Bigby's Hand"
114,1:57:28,Pike,Attack,Nat20,20,Y,,,Guiding Bolt (6th)
114,2:01:21,Pike,Damage,37,,,74 (37x2) Radiant to Vecna,,Crack in Vecna's shoulder is much larger
114,2:03:23,Pike,Healing,25,,,,,"Healing Word (2nd), Grog heals 25 points"
114,2:06:20,Grog,Dexterity Save,Unknown,Unknown,,,,Disregarded due to advantage
