Episode,Time,Character,Type of Roll,Total Value,Natural Value,Crit?,Damage,Kill #,Notes
79,0:17:26,Grog,Initiative,14,12,,,,
79,0:17:38,Vex'ahlia,Initiative,13,6,,,,
79,0:17:45,Vax'ildan,Initiative,12,7,,,,
79,0:17:45,Pike,Initiative,11,9,,,,
79,0:17:54,Keyleth,Initiative,17,15,,,,
79,0:17:58,Percy,Initiative,25,17,,,,
79,0:18:05,Scanlan,Initiative,8,6,,,,
79,0:21:04,Percy,Attack,Unknown,Unknown,,,,Disregarded due to advantage
79,0:21:04,Percy,Attack,24,16,,,,BN SS with Deadeye
79,0:21:33,Percy,Damage,42,,,42 (37 Piercing + 5 Necrotic) to Thordak,,
79,0:21:58,Percy,Attack,18,10,,,,BN SS
79,0:28:02,Keyleth,Damage,35,,,17 Bludgeoning to Thordak,,
79,0:34:34,Percy,Dexterity Save,Nat1,1,,,,Disregarded due to Indomitable
79,0:34:34,Percy,Dexterity Save,18,12,,47 Fire to Percy,,With Indomitable
79,0:35:33,Scanlan,Cutting Words,5,,,,,
79,0:36:02,Vex'ahlia,Dexterity Save,28,18,,23 Fire to Vex'ahlia,,
79,0:36:03,Grog,Dexterity Save,17,15,,23 Fire to Grog,,
79,0:36:07,Vax'ildan,Dexterity Save,24,14,,,,
79,0:36:25,Scanlan,Dexterity Save,21,19,,47 Fire to Scanlan,,
79,0:36:29,Trinket,Dexterity Save,Unknown,Unknown,,94 Fire to Trinket,,"Trinket is unconscious, returns to necklace"
79,0:36:29,Pike,Dexterity Save,Unknown,Unknown,,47 Fire to Pike,,
79,0:39:13,Grog,Attack,Nat1,1,,,,Disregarded due to advantage
79,0:39:13,Grog,Attack,19,10,,,,Bloodaxe Reckless GWM
79,0:39:27,Grog,Attack,Unknown,Unknown,,,,Disregarded due to advantage
79,0:39:27,Grog,Attack,25,16,,,,Bloodaxe Reckless GWM
79,0:39:45,Grog,Attack,Unknown,Unknown,,,,Disregarded due to advantage
79,0:39:45,Grog,Attack,21,12,,,,Bloodaxe Reckless GWM
79,0:40:15,Grog,Damage,36,,,36 (34 Slashing + 2 Necrotic) to Thordak,,
79,0:42:33,Vex'ahlia,Attack,30,15,,,,Fenthras Bramble Shot
79,0:42:37,Percy,Constitution Save,10,3,,,,Hex Fades
79,0:43:37,Vex'ahlia,Damage,48,,,"48 (15 Piercing + 2 Lightning + 12 (HM + SA) + 
17 Bramble + 2 Dragon) to Thordak",,
79,0:44:46,Vex'ahlia,Attack,27,12,,,,Fenthras Poison Arrow
79,0:45:50,Vex'ahlia,Damage,24,,,24 (16 Piercing + 4 Lightning + 2 HM + 2 Dragon) to Thordak,,
79,0:55:01,Scanlan,Spell Attack,18,7,,,,Bigby's Clenched Fist
79,0:58:23,Percy,Attack,Unknown,Unknown,,,,Disregarded due to advantage
79,0:58:23,Percy,Attack,Nat20,20,,,,BN SS with Deadeye
79,0:59:01,Percy,Damage,24,,,24 Piercing to Thordak,,
79,0:59:27,Percy,Attack,26,Unknown,,,,BN SS with inspiration
79,0:59:43,Percy,Damage,30,,,30 Piercing to Thordak,,
79,1:03:57,Keyleth,Spell Attack,28,16,,,,Contagion (Slimy Doom)
79,1:06:56,Keyleth,Dexterity Save,12,9,,16 (13 Bludgeoning + 3 (6/2) Fire) to Keyleth,,
79,1:06:56,Grog,Dexterity Save,Unknown,Unknown,,,,Disregarded due to advantage
79,1:06:56,Grog,Dexterity Save,Nat20,20,,,,With advantage
79,1:08:02,Grog,Attack,Unknown,Unknown,,,,Disregarded due to advantage
79,1:08:02,Grog,Attack,Nat20,20,,,,Bloodaxe Reckless
79,1:08:40,Grog,Damage,26,,,26 (24 Slashing + 2 Necrotic) to Thordak,,
79,1:11:35,Vax'ildan,Dexterity Save,Unknown,Unknown,,,,
79,1:11:35,Vax'ildan,Dexterity Save,23,13,,,,
79,1:11:39,Vex'ahlia,Dexterity Save,Unknown,Unknown,,,,
79,1:11:39,Vex'ahlia,Dexterity Save,27,17,,,,
79,1:15:38,Grog,Attack,Unknown,Unknown,,,,Disregarded due to advantage
79,1:15:38,Grog,Attack,19,10,,,,Bloodaxe Reckless GWM
79,1:15:56,Grog,Attack,Unknown,Unknown,,,,Disregarded due to advantage
79,1:15:56,Grog,Attack,26,17,,,,Bloodaxe Reckless GWM
79,1:16:03,Grog,Attack,Unknown,Unknown,,,,Disregarded due to advantage
79,1:16:03,Grog,Attack,22,13,,,,Bloodaxe Reckless GWM
79,1:16:23,Grog,Damage,36,,,36 (30 Slashing + 6 Necrotic) to Thordak,,
79,1:19:31,Scanlan,Cutting Words,3,,,,,
79,1:22:57,Scanlan,Perception,21,19,,,,
79,1:22:58,Keyleth,Perception,24,13,,,,
79,1:23:00,Percy,Perception,12,4,,,,
79,1:23:03,Vax'ildan,Perception,25,13,,,,
79,1:23:04,Grog,Perception,6,6,,,,
79,1:23:07,Vex'ahlia,Perception,16,3,,,,
79,1:24:27,Vex'ahlia,Attack,18,3,,,,Fenthras
79,1:24:47,Vex'ahlia,Attack,Unknown,Unknown,,,,Fenthras Poison Arrow
79,1:25:00,Vex'ahlia,Attack,25,10,,,,Fenthras
79,1:25:16,Vex'ahlia,Damage,30,,,30 (16 Piercing + 1 Lightning + 13 SA/HM) to Thordak,,
79,1:28:06,Vax'ildan,Attack,Unknown,Unknown,,,,Dragonslayer SA with DS
79,1:28:06,Vax'ildan,Attack,26,15,,,,Dragonslayer SA with DS
79,1:29:06,Vax'ildan,Damage,50,,,50 Slashing/Psychic/Radiant to Thordak,,
79,1:35:40,Scanlan,Spell Attack,24,13,,,,Bigby's Hand
79,1:36:21,Scanlan,Damage,41,,,41 to Fire Elemental 2,,
79,1:38:12,Scanlan,Damage,15,,,15 Lightning to Fire Elemental 2,,
