Episode,Time,Character,Type of Roll,Total Value,Natural Value,Crit?,Damage Dealt,# Kills,Notes
ExU1-07,0:11:09,Opal,Charisma Save,16,,,,,
ExU1-07,0:13:08,Dariax,Spell Attack,18,,,,,
ExU1-07,0:14:31,Dariax,Insight,8,,,,,
ExU1-07,0:16:14,Dariax,Investigation,11,,,,,
ExU1-07,0:21:37,Dariax,Perception,14,,,,,
ExU1-07,0:22:56,Fearne,Wisdom Save,18,,,,,
ExU1-07,0:29:04,Orym,Perception,Nat1,1,,,,Disregarded due to Halfling Luck
ExU1-07,0:29:04,Orym,Perception,Unknown,Unknown,,,,Disregarded due to advantage
ExU1-07,0:29:04,Orym,Perception,20,,,,,With advantage
ExU1-07,0:36:03,Dorian,Investigation,19,,,,,
ExU1-07,0:36:21,Dorian,Other,29,,,,,Percentile
ExU1-07,0:37:17,Dorian,Arcana,14,,,,,
ExU1-07,0:39:32,Dorian,Wisdom Save,15,,,,,
ExU1-07,0:41:28,Dorian,Insight,10,,,,,
ExU1-07,0:45:37,Dorian,Performance,Nat1,1,,,,Disregarded due to advantage
ExU1-07,0:45:37,Dorian,Performance,11,5,,,,Disregarded due to GM Inspiration
ExU1-07,0:45:27,Dorian,Performance,18,,,,,With GM Inspiration
ExU1-07,0:53:18,Dorian,Deception,7,,,,,
ExU1-07,0:54:37,Dorian,Deception,Nat20,20,,,,
ExU1-07,0:57:53,Dorian,Perception,19,,,,,
ExU1-07,1:12:42,Dariax,Wisdom Save,4,,,,,
ExU1-07,1:16:02,Dariax,Insight,Nat1,1,,,,
ExU1-07,1:16:50,Orym,History,19,,,,,
ExU1-07,1:17:38,Dorian,Animal Handling,11,,,,,
ExU1-07,1:23:35,Dariax,Charisma Save,18,,,,,
ExU1-07,1:25:44,Orym,Survival,Unknown,Unknown,,,,Disregarded due advantage
ExU1-07,1:25:44,Orym,Survival,19,,,,,With advantage
ExU1-07,1:29:33,Orym,Perception,Unknown,Unknown,,,,Disregarded due advantage
ExU1-07,1:29:33,Orym,Perception,14,,,,,With advantage
ExU1-07,1:30:40,Fearne,Arcana,10,,,,,
ExU1-07,1:33:01,Fearne,Athletics,11,,,,,
ExU1-07,1:34:44,Dorian,History,11,,,,,Universe
ExU1-07,1:34:44,Dariax,History,11,,,,,Shield
ExU1-07,1:36:40,Fearne,History,Unknown,Unknown,,,,Disregarded due to disadvantage
ExU1-07,1:36:40,Fearne,History,Nat1,1,,,,With disadvantage
ExU1-07,1:44:36,Dariax,Strength Save,7,,,,,
ExU1-07,1:44:36,Opal,Strength Save,11,,,,,
ExU1-07,1:46:00,Opal,Religion,6,,,,,
ExU1-07,1:47:20,Dariax,Religion,Unknown,Unknown,,,,Disregarded due to advantage
ExU1-07,1:47:20,Dariax,Religion,8,,,,,With advantage (the universe above)
ExU1-07,1:49:34,Orym,Investigation,16,,,,,
ExU1-07,1:52:52,Fearne,Acrobatics,12,,,,,
ExU1-07,1:53:37,Opal,Arcana,Unknown,Unknown,,,,Disregarded due to advantage
ExU1-07,1:53:37,Opal,Arcana,15,,,,,With advantage (a shield to protect)
ExU1-07,1:55:37,Fearne,Religion,5,3,,,,Remember
ExU1-07,1:56:47,Dorian,Religion,13,,,,,Decide what comes next
ExU1-07,1:57:53,Fearne,Religion,21,19,,,,Remember what came before
ExU1-07,1:59:29,Dariax,Religion,Nat1,1,,,,Disregarded due to advantage
ExU1-07,1:59:29,Dariax,Religion,1,2,,"2 to Dariax, Hit point max reduced by 2",,With advantage
ExU1-07,2:02:45,Dariax,Religion,14,15,,,,Disregarded due to disadvantage
ExU1-07,2:02:45,Dariax,Religion,12,13,,,,With disadvantage (the universe within)
ExU1-07,2:03:42,Dariax,Strength Save,19,,,,,
ExU1-07,2:05:05,Fearne,Religion,17,,,,,Provide for all
ExU1-07,2:08:03,Orym,Acrobatics,13,,,,,
ExU1-07,2:09:09,Fearne,Spell Attack,23,18,,,,
ExU1-07,2:27:28,Orym,Strength Save,Nat20,20,,,,
ExU1-07,2:29:10,Orym,Initiative,Unknown,Unknown,,,,Disregarded due to advantage
ExU1-07,2:29:10,Orym,Initiative,22,,,,,With advantage
