Episode,Time,Character,Type of Roll,Total Value,Natural Value,Crit?,Damage Dealt,# Kills,Notes
ExU1-02,0:10:41,Opal,Perception,8,,,,,
ExU1-02,0:10:41,Dorian,Perception,11,,,,,
ExU1-02,0:10:41,Orym,Perception,11,,,,,
ExU1-02,0:10:41,Fearne,Perception,,20,Y,,,
ExU1-02,0:10:41,Dariax,Perception,12,,,,,
ExU1-02,0:13:36,Fearne,Dexterity Save,Unknown,Unknown,,,,disregarded due to advantage
ExU1-02,0:13:36,Fearne,Dexterity Save,18,,,,,
ExU1-02,0:15:28,Dariax,Deception,19,,,,,
ExU1-02,0:16:27,Orym,Stealth,23,,,,,
ExU1-02,0:16:27,Dorian,Stealth,13,,,,,
ExU1-02,0:16:27,Fearne,Stealth,Unknown,Unknown,,,,disregarded due to disadvantage
ExU1-02,0:16:27,Fearne,Stealth,6,,,,,
ExU1-02,0:16:27,Opal,Stealth,7,,,,,
ExU1-02,0:21:54,Dorian,Attack,12,,,,,Scimitar against Thug 1
ExU1-02,0:24:11,Dorian,Initiative,22,,,,,
ExU1-02,0:24:11,Opal,Initiative,16,,,,,
ExU1-02,0:24:11,Dariax,Initiative,16,,,,,
ExU1-02,0:24:11,Orym,Initiative,17,,,,,
ExU1-02,0:24:11,Fearne,Initiative,10,,,,,
ExU1-02,0:25:44,Dorian,Attack,12,,,,,Handaxe against Thug 1
ExU1-02,0:26:22,Dorian,Scimitar,14,,,,,Scimitar against Thug 1
ExU1-02,0:27:27,Dorian,Strength Save,8,,,,,Dorian is grappled
ExU1-02,0:28:46,Orym,Attack,24,,,,,Sword hilt against Thug 1
ExU1-02,0:28:55,Orym,Damage,9,,,9 to Thug 1,,
ExU1-02,0:30:40,Dariax,Attack,8,,,,,Spear against Thug 1
ExU1-02,0:32:52,Dorian,Strength Save,16,,,,,
ExU1-02,0:32:52,Dariax,Strength Save,18,,,,,
ExU1-02,0:32:52,Orym,Strength Save,5,,,,,Orym is grappled
ExU1-02,0:36:31,Dorian,Damage,12,,,6 (12/2) Psychic to Thug 1,,
ExU1-02,0:37:40,Dorian,Athletics,,20,Y,,,Dorian breaks the grapple
ExU1-02,0:43:22,Dariax,Attack,23,19,,,,Spear against Thug 1
ExU1-02,0:43:30,Dariax,Damage,9,,,9 to Thug 1,,
ExU1-02,0:44:38,Opal,Persuasion,,20,Y,,,disregarded due to disadvantage
ExU1-02,0:44:38,Opal,Persuasion,15,,,,,
ExU1-02,0:46:14,Opal,Spell Attack,,20,Y,,,
ExU1-02,0:46:57,Opal,Damage,15,,,15 Force to Arthur,,
ExU1-02,0:51:05,Orym,Survival,8,,,,,
ExU1-02,0:51:56,Fearne,Survival,Unknown,Unknown,,,,disregarded due to advantage
ExU1-02,0:51:56,Fearne,Survival,19,,,,,
ExU1-02,0:57:09,Dariax,History,4,,,,,
