Episode,Time,Character,Type of Roll,Total Value,Natural Value,Crit?,Damage Dealt,# Kills,Notes
ExU1-06,0:07:08,Fy'ra,Survival,16,,,,,
ExU1-06,0:07:15,Fy'ra,Other,4,,,,,days of travel
ExU1-06,0:07:45,Dariax,Perception,6,,,,,
ExU1-06,0:07:48,Opal,Perception,5,,,,,
ExU1-06,0:07:49,Fearne,Perception,5,,,,,
ExU1-06,0:07:51,Fy'ra,Perception,20,,,,,
ExU1-06,0:07:52,Orym,Perception,7,,,,,
ExU1-06,0:07:54,Dorian,Perception,20,,,,,
ExU1-06,0:12:53,Opal,Charisma Save,6,,,,,
ExU1-06,0:15:10,Dariax,History,18,,,,,
ExU1-06,0:15:12,Opal,History,20,,,,,
ExU1-06,0:15:15,Fy'ra,History,13,,,,,
ExU1-06,0:15:16,Fearne,History,10,,,,,
ExU1-06,0:15:17,Orym,History,19,,,,,
ExU1-06,0:15:17,Dorian,History,21,,,,,
ExU1-06,0:18:06,Fy'ra,Insight,Unknown,,,,,disregarded due to disadvantage
ExU1-06,0:18:06,Fy'ra,Insight,19,,,,,
ExU1-06,0:22:43,Opal,History,15,,,,,
ExU1-06,0:22:46,Orym,History,19,,,,,
ExU1-06,0:22:48,Fearne,History,13,,,,,
ExU1-06,0:24:05,Orym,Perception,14,,,,,
ExU1-06,0:24:07,Dariax,Perception,0,,,,,
ExU1-06,0:24:34,Fearne,Perception,20,,,,,
ExU1-06,0:24:36,Dorian,Perception,12,,,,,
ExU1-06,0:27:24,Dariax,Acrobatics,14,,,,,
ExU1-06,0:29:52,Opal,Athletics,Nat20,20,,,,
ExU1-06,0:30:17,Fearne,Athletics/Acrobatics,17,,,,,
ExU1-06,0:32:28,Orym,Athletics/Acrobatics,17,,,,,
ExU1-06,0:34:42,Fy'ra,Perception,16,,,,,
ExU1-06,0:35:33,Fy'ra,Persuasion,16,,,,,
ExU1-06,0:43:01,Fy'ra,Perception,13,,,,,
ExU1-06,0:51:01,Dariax,Dexterity,Nat1,1,,,,disregarded due to advantage (DM Inspiration)
ExU1-06,0:51:01,Dariax,Dexterity,10,,,,,
ExU1-06,0:53:17,Opal,Animal Handling,14,,,,,
ExU1-06,0:54:28,Dorian,Animal Handling,Nat1,1,,,,disregarded due to advantage
ExU1-06,0:54:28,Dorian,Animal Handling,20,19,,,,
ExU1-06,0:57:26,Fearne,Animal Handling,19,,,,,
ExU1-06,1:16:23,Dorian,Insight,19,,,,,
